camera,frame,timestamp,obj_id,class,bbox,x_c,y_c,w,h,in_alert_zone,v_width,v_height
CAMERA_HALL_PORTE_ENTREE,27,0.9,10577,person,"[1485, 425, 131, 479]",1551,665,131,479,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,27,0.9,10578,person,"[959, 330, 343, 742]",1130,701,343,742,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,27,0.9,10583,person,"[282, 63, 634, 979]",599,553,634,979,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,28,0.94,10577,person,"[1484, 425, 138, 482]",1553,666,138,482,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,28,0.94,10578,person,"[994, 332, 350, 741]",1169,702,350,741,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,28,0.94,10583,person,"[322, 68, 641, 989]",642,563,641,989,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,29,0.97,10577,person,"[1484, 425, 144, 485]",1556,667,144,485,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,29,0.97,10578,person,"[1031, 333, 355, 739]",1208,702,355,739,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,29,0.97,10583,person,"[411, 69, 597, 994]",710,566,597,994,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,30,1.0,10577,person,"[1484, 425, 147, 490]",1558,670,147,490,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,30,1.0,10578,person,"[1056, 337, 365, 734]",1239,704,365,734,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,30,1.0,10583,person,"[482, 67, 575, 999]",770,567,575,999,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,30,1.0,10592,person,"[391, 315, 322, 621]",552,626,322,621,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,31,1.04,10577,person,"[1484, 424, 150, 490]",1559,669,150,490,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,31,1.04,10578,person,"[1088, 338, 368, 733]",1272,705,368,733,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,31,1.04,10583,person,"[546, 68, 560, 1000]",826,568,560,1000,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,31,1.04,10592,person,"[425, 323, 329, 611]",589,628,329,611,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,32,1.07,10577,person,"[1483, 424, 151, 490]",1559,669,151,490,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,32,1.07,10578,person,"[1119, 341, 370, 730]",1304,706,370,730,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,32,1.07,10583,person,"[601, 67, 556, 1002]",879,568,556,1002,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,32,1.07,10592,person,"[463, 335, 339, 601]",633,635,339,601,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,33,1.1,10577,person,"[1483, 424, 152, 490]",1559,669,152,490,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,33,1.1,10578,person,"[1149, 346, 366, 725]",1332,708,366,725,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,33,1.1,10583,person,"[662, 69, 550, 1000]",937,569,550,1000,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,33,1.1,10592,person,"[504, 345, 351, 590]",680,640,351,590,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,34,1.14,10577,person,"[1485, 425, 151, 488]",1560,669,151,488,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,34,1.14,10578,person,"[1174, 346, 377, 726]",1363,709,377,726,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,34,1.14,10583,person,"[716, 74, 551, 997]",992,572,551,997,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,34,1.14,10592,person,"[549, 354, 352, 586]",725,647,352,586,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,35,1.17,10577,person,"[1486, 424, 155, 492]",1564,670,155,492,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,35,1.17,10578,person,"[1209, 346, 375, 725]",1397,709,375,725,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,35,1.17,10583,person,"[767, 81, 550, 989]",1042,575,550,989,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,35,1.17,10592,person,"[600, 359, 346, 579]",773,648,346,579,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,36,1.2,10577,person,"[1488, 425, 155, 491]",1566,670,155,491,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,36,1.2,10578,person,"[1257, 346, 355, 728]",1435,710,355,728,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,36,1.2,10583,person,"[814, 82, 573, 985]",1101,574,573,985,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,36,1.2,10592,person,"[651, 358, 344, 583]",823,649,344,583,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,37,1.24,10577,person,"[1490, 423, 155, 492]",1568,669,155,492,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,37,1.24,10578,person,"[1311, 340, 311, 733]",1466,707,311,733,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,37,1.24,10583,person,"[864, 88, 569, 979]",1149,578,569,979,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,37,1.24,10592,person,"[702, 359, 338, 663]",871,691,338,663,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,38,1.27,10577,person,"[1500, 423, 144, 491]",1572,668,144,491,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,38,1.27,10583,person,"[914, 86, 642, 983]",1235,577,642,983,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,38,1.27,10592,person,"[750, 355, 330, 701]",915,706,330,701,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,39,1.3,10577,person,"[1495, 424, 149, 491]",1569,670,149,491,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,39,1.3,10583,person,"[970, 88, 661, 981]",1301,578,661,981,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,39,1.3,10592,person,"[793, 350, 324, 717]",955,709,324,717,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,40,1.34,10577,person,"[1518, 455, 123, 458]",1580,684,123,458,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,40,1.34,10583,person,"[1026, 89, 645, 979]",1349,579,645,979,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,40,1.34,10592,person,"[834, 345, 336, 727]",1002,708,336,727,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,41,1.37,10583,person,"[1089, 86, 637, 982]",1408,577,637,982,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,41,1.37,10592,person,"[870, 338, 337, 734]",1039,705,337,734,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,42,1.4,10583,person,"[1147, 78, 656, 990]",1475,573,656,990,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,42,1.4,10592,person,"[908, 333, 342, 740]",1079,703,342,740,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,43,1.44,10583,person,"[1212, 65, 665, 1003]",1545,567,665,1003,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,43,1.44,10592,person,"[948, 329, 330, 745]",1113,701,330,745,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,44,1.47,10583,person,"[1274, 53, 645, 1016]",1596,561,645,1016,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,44,1.47,10592,person,"[984, 329, 334, 745]",1151,701,334,745,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,45,1.51,10583,person,"[1333, 36, 586, 1032]",1626,552,586,1032,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,45,1.51,10592,person,"[1020, 333, 337, 742]",1189,704,337,742,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,46,1.54,10583,person,"[1389, 26, 530, 1042]",1654,547,530,1042,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,46,1.54,10592,person,"[1056, 336, 347, 738]",1229,705,347,738,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,47,1.57,10583,person,"[1444, 16, 475, 1051]",1682,542,475,1051,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,47,1.57,10592,person,"[1094, 343, 341, 730]",1264,708,341,730,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,48,1.61,10583,person,"[1484, 12, 435, 1055]",1701,539,435,1055,False,1920,1080
